Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2021-000202,2022-02-07,2022-02-10,Standard Class,CU-00083,Customer_83,Consumer,United States,Portland,Oregon,58487,West,PRD-BOO-2637,Furniture,Bookcases,Sauder Barrister,5718.02,4,0.0,421.23
2,CA-2020-000126,2022-11-21,2022-11-27,Standard Class,CU-00039,Customer_39,Consumer,United States,Baltimore,Maryland,64555,East,PRD-COP-3344,Technology,Copiers,Canon imageCLASS,2876.03,3,0.4,766.69
3,CA-2021-000210,2019-01-10,2019-01-15,Second Class,CU-00116,Customer_116,Corporate,United States,Boston,Connecticut,64891,East,PRD-BOO-9842,Furniture,Bookcases,Atlantic Oskar,2613.22,2,0.0,114.75
4,CA-2020-001260,2022-10-04,2022-10-11,Standard Class,CU-00759,Customer_759,Corporate,United States,Kansas City,Michigan,30940,Central,PRD-FUR-4433,Furniture,Furnishings,Tensor Lamp,1507.62,2,0.3,131.34
5,CA-2019-000036,2019-08-26,2019-08-29,Standard Class,CU-00101,Customer_101,Corporate,United States,Los Angeles,Montana,77489,West,PRD-TAB-7865,Furniture,Tables,KI Adjustable,1018.81,1,0.3,-45.63
6,CA-2022-001224,2021-08-22,2021-08-27,Standard Class,CU-00648,Customer_648,Consumer,United States,Portland,Nevada,19637,West,PRD-TAB-4541,Furniture,Tables,Chromcraft T,5220.6,5,0.0,-295.46
7,CA-2021-000879,2019-05-03,2019-05-07,First Class,CU-00654,Customer_654,Consumer,United States,Dallas,Texas,84536,South,PRD-TAB-7852,Furniture,Tables,Bevis Round,933.81,1,0.2,-54.8
8,CA-2021-000286,2021-09-28,2021-10-04,First Class,CU-00228,Customer_228,Home Office,United States,Los Angeles,Utah,78389,West,PRD-TAB-5573,Furniture,Tables,Bevis Round,1436.06,1,0.0,-68.97
9,CA-2019-001444,2019-04-01,2019-04-03,Standard Class,CU-00464,Customer_464,Corporate,United States,Las Vegas,California,64758,West,PRD-SUP-7974,Office Supplies,Supplies,Crayola Crayons,811.01,2,0.3,19.35
10,CA-2020-001916,2021-01-04,2021-01-08,Standard Class,CU-00598,Customer_598,Consumer,United States,Washington DC,Virginia,27394,East,PRD-ART-8860,Office Supplies,Art,Avery Markers,542.35,3,0.1,84.79
